condition,seed,phase,cost,horizon,weight_mean
D0,7,intercept,object,0,30.7889097661861
D0,7,intercept,object,1,30.671949070066947
D0,7,intercept,object,2,30.61728510710811
D0,7,intercept,object,3,30.57673847453166
D0,7,intercept,object,4,30.533057845485445
D0,7,intercept,object,5,30.480256790876837
D0,7,intercept,object,6,30.416036520924358
D0,7,intercept,object,7,30.33967099177967
D0,7,intercept,grasp,0,252.5981683591385
D0,7,intercept,grasp,1,252.63888511002511
D0,7,intercept,grasp,2,252.63257204015684
D0,7,intercept,grasp,3,252.61931184738
D0,7,intercept,grasp,4,252.60920425765318
D0,7,intercept,grasp,5,252.6025190922093
D0,7,intercept,grasp,6,252.59851956843508
D0,7,intercept,grasp,7,252.59658273481742
D0,7,intercept,compression,0,0.050141544758307274
D0,7,intercept,compression,1,0.05014273626364697
D0,7,intercept,compression,2,0.050141608651605905
D0,7,intercept,compression,3,0.05013904539596811
D0,7,intercept,compression,4,0.050136195835657385
D0,7,intercept,compression,5,0.05013368533887355
D0,7,intercept,compression,6,0.05013170164784414
D0,7,intercept,compression,7,0.05013011205075706
D0,7,intercept,velocity,0,3.919307912424511
D0,7,intercept,velocity,1,3.9544823822395028
D0,7,intercept,velocity,2,4.028911760705938
D0,7,intercept,velocity,3,4.04218558479957
D0,7,intercept,velocity,4,4.0404165426660645
D0,7,intercept,velocity,5,4.038783771782971
D0,7,intercept,velocity,6,4.037109445415021
D0,7,intercept,velocity,7,4.032389124910898
D0,7,intercept,smoothness,0,0.3962668988877651
D0,7,intercept,smoothness,1,0.39803373691787186
D0,7,intercept,smoothness,2,0.39837723384176554
D0,7,intercept,smoothness,3,0.39954402151858376
D0,7,intercept,smoothness,4,0.4015861571088669
D0,7,intercept,smoothness,5,0.40287104019788755
D0,7,intercept,smoothness,6,0.40257696698099793
D0,7,intercept,smoothness,7,0.4027861595750254
D0,7,pre_impact,object,0,30.638495336771403
D0,7,pre_impact,object,1,30.541129199564736
D0,7,pre_impact,object,2,30.496206009282133
D0,7,pre_impact,object,3,30.463072323488902
D0,7,pre_impact,object,4,30.427317417718818
D0,7,pre_impact,object,5,30.383916672145915
D0,7,pre_impact,object,6,30.33085678688109
D0,7,pre_impact,object,7,30.267430120804256
D0,7,pre_impact,grasp,0,250.38199317200434
