condition,seed,phase,cost,residual_median,residual_p05,residual_p95,residual_absolute_median,maximum_absolute_residual,prior_ratio_mean,prior_ratio_median,prior_ratio_p05,prior_ratio_p95
D0,7,intercept,object,0.01950362714131673,-0.010300517988204956,0.041239339844385776,0.031281738917032884,0.074734134833018,1.018432935695663,1.0195036271413167,0.989699482011795,1.0412393398443858
D0,7,intercept,grasp,0.008613858261108397,-0.005705056846618653,0.03297874478149414,0.03088774688720703,0.05284388778686523,1.0104478815049078,1.0086138582611084,0.9942949431533813,1.0329787447814942
D0,7,intercept,compression,0.00344638130148677,-0.012927264648642169,0.013736926447794933,0.012073088629944788,0.03597940860719369,1.0027415599146374,1.003446381301487,0.9870727353513579,1.013736926447795
D0,7,intercept,velocity,0.007820249423384667,-0.043126564390957356,0.03722157499939203,0.024517014101147653,0.07831303089857101,1.002924578904515,1.0078202494233848,0.9568734356090427,1.037221574999392
D0,7,intercept,smoothness,0.002825616816794621,-0.04370901091085357,0.038351071929915645,0.016303063127352843,0.0894282271798219,1.000638177285818,1.0028256168167946,0.9562909890891464,1.0383510719299156
D0,7,pre_impact,object,0.01389762298266093,0.0011076990604400626,0.03022961004575093,0.030517117102940874,0.04745273558298747,1.0147850994444052,1.0138976229826608,1.00110769906044,1.0302296100457509
D0,7,pre_impact,grasp,0.00232526069641113,-0.008421634910583491,0.012926693313598636,0.0319252205657959,0.04179313537597656,1.0022412383830543,1.0023252606964113,0.9915783650894165,1.0129266933135985
D0,7,pre_impact,compression,0.0024607878239192157,-0.001484123084390777,0.006545080852812366,0.012759232352832113,0.016253548245482974,1.0024994949718455,1.0024607878239191,0.9985158769156093,1.0065450808528125
D0,7,pre_impact,velocity,0.0030611156696473242,-0.039681453126788745,0.03305929421032304,0.024878173272383498,0.05145806288719448,1.000400805403082,1.0030611156696474,0.9603185468732113,1.033059294210323
D0,7,pre_impact,smoothness,0.0017032553846431243,-0.0488702222460031,0.04111116024311322,0.016546613240198096,0.06046682177848742,1.0000300742453208,1.0017032553846432,0.9511297777539969,1.0411111602431131
D0,7,capture,object,0.007952608447372389,-0.0009219478632532782,0.016496672371680638,0.031943741674699815,0.042689361254084165,1.007764535671306,1.0079526084473724,0.9990780521367466,1.0164966723716806
D0,7,capture,grasp,0.0015667963128896936,-0.004865068055033177,0.006820276974022037,0.029146330254317905,0.03567672721947293,1.001390566640757,1.0015667963128896,0.9951349319449668,1.006820276974022
D0,7,capture,compression,0.00029678405742282856,-0.003712104098339461,0.0050806201910611115,0.014315514979992804,0.018748441431149076,1.0004536583977537,1.0002967840574228,0.9962878959016606,1.0050806201910611
D0,7,capture,velocity,0.002548394695941121,-0.034200072219060434,0.031061916916931085,0.02476005828519743,0.04934391660240234,1.0005009327808545,1.002548394695941,0.9657999277809396,1.031061916916931
D0,7,capture,smoothness,0.00134103339619275,-0.04567108229684689,0.03998689927515732,0.019019630343371053,0.058303009226007986,0.9999042620024068,1.0013410333961927,0.9543289177031531,1.0399868992751573
D0,7,hold,object,0.0062629040849568555,-0.0013314868540641835,0.013994507599828735,0.018160869460897084,0.038121977666626734,1.0062089473827143,1.0062629040849569,0.9986685131459359,1.0139945075998287
