condition,seed,complete,training_episodes,training_success_rate,training_safety_violation_count,evaluation_success_rate_all_checkpoints,evaluation_success_rate,evaluation_impact_safe_rate,evaluation_stable_hold_rate,evaluation_bilateral_contact_rate,evaluation_box_drop_rate,evaluation_workspace_failure_rate,evaluation_mean_first_contact_peak_force_n,evaluation_mean_episode_maximum_contact_force_n,evaluation_force_over_18n_episode_rate,evaluation_force_over_36n_episode_rate,evaluation_force_over_18n_step_fraction,evaluation_force_over_36n_step_fraction,actor_net_displacement,actor_path_length,actor_path_displacement_ratio,mean_abs_actor_residual,raw_update_mean,raw_update_p90,raw_update_p99,raw_update_max,applied_update_mean,applied_raw_ratio_mean,raw_applied_ratio_mean,cumulative_cap_reach_80_episode,cumulative_cap_reach_95_episode,cumulative_cap_reach_100_episode,cumulative_projection_count,cumulative_projection_removed,online_cap_count,online_cap_removed,target_kl_early_stop_count,target_kl_early_stop_rate,ppo_clip_fraction,weight_min_clip_count,weight_max_clip_count,weight_clip_removed_episode_mean_sum,weight_clip_removed_max,kl_projection_count,kl_rollback_count,kl_projection_removed,policy_loss,value_loss,explained_variance,approximate_kl_mean,approximate_kl_p95,approximate_kl_max,entropy,final_raw_log_std_mean,advantage_mean,advantage_std,actor_grad_norm,critic_grad_norm,mean_executed_ppo_epochs,maximum_hessian_condition_number,p95_episode_maximum_hessian_condition_number,minimum_hessian_eigenvalue,maximum_linear_solve_residual,velocity_saturation_fraction,solver_failure_count,nan_inf_count
D0,7,1,400,0.8875,3,0.9924999999999999,1.0,1.0,1.0,1.0,0.0,0.0,12.59676330689784,12.617397507989171,0.0,0.0,0.0,0.0,0.4000000059604645,62.86872832870722,157.17181847972546,0.016287163625566543,0.004269690148035834,0.01096680741757154,0.0259346795082092,0.04998858645558357,0.003857687201859681,0.9136385712309745,1.0959419721586523,2,7,7,9610,14.203320235013765,373,2.4517774768173695,0,0.0,0.0,0,0,0.0,0.0,19,0,0.09140584338456392,0.012385400522571368,19846.186328443815,-3.3605809836232976,0.00017802533156770055,0.00021639242768287578,0.01968234032392502,-12.385401297765487,-3.501356840133667,-25.436171123041692,11.830300072818257,0.412206054346383,407.06810011693955,0.9899367981837148,4.125286102294922,3.8366665482521056,1.4118874073028564,3.3349812156302505e-07,0.005892857142857143,0,0
D0,17,1,400,0.86,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,12.528190414203065,12.584562057802936,0.0,0.0,0.0,0.0,0.4000000059604645,63.0436332892059,157.60908087445642,0.016591585292226242,0.004203608871106308,0.010631074942648408,0.025793755054473892,0.045384276658296585,0.003842483896459188,0.9268844969083501,1.0762472140248425,4,4,4,9364,12.942473286390108,359,2.3523725513368845,0,0.0,0.0,0,0,0.0,0.0,11,0,0.03579903673380613,0.0124019422551522,40483.84527183911,-3.0340492892495745,0.00018220398314665445,0.00038854815065860604,0.018558930605649948,-12.401941288278273,-3.5057919025421143,-43.16713657844718,19.76396341235108,0.474181680088664,583.1789861987511,0.9911013591759614,3.9395899772644043,3.7884580731391906,1.4119009971618652,3.129374874788482e-07,0.008751785714285715,0,0
D0,27,1,400,0.9025,0,0.995,1.0,1.0,1.0,1.0,0.0,0.0,12.579148457698683,12.600648715822828,0.0,0.0,0.0,0.0,0.36797571182250977,65.30178006565257,177.46220189975574,0.01263941076970953,0.004368802773014874,0.01114443661645055,0.02594171285629274,0.06321090459823608,0.003988138516285121,0.9265792243415727,1.0757621764752858,3,7,7,9092,13.133528900146281,395,2.821771938353777,0,0.0,0.0,0,0,0.0,0.0,8,0,0.02534139808267355,0.012412584340296521,27536.048203364007,-3.330680599044532,0.00014798094191431578,0.00023070573806762578,0.019317593425512314,-12.412582839293927,-3.5072269439697266,-30.687804831550654,14.114864715967709,0.40274228344589125,493.4069782154791,0.9913277146695981,3.897782564163208,3.7812634825706484,1.4139341115951538,3.3200578286596283e-07,0.00660952380952381,0,0
D1,7,1,400,0.6225,30,0.6100000000000001,0.54,0.8,0.58,1.0,0.26,0.0,16.169024880672083,16.500217747024283,0.2,0.0,0.0014586628335782816,0.0,4.575331211090088,76.77674344196203,16.780587000098233,0.3086558519671574,0.00490796518723709,0.012191866524517536,0.02495130069553858,0.0607219934463501,0.004677230791468902,0.983611016521425,1.00928958040865,,,,0,0.0,418,2.407088154926896,0,0.0,0.0,0,0,0.0,0.0,253,0,1.3804169516079128,0.01228016314400003,127713.19876819062,-2.049942620930776,0.0007451826328614015,0.004741713032126426,0.019932303577661514,-12.280164740530775,-3.467874526977539,-139.67439095255853,63.49770675947551,1.1177448836594515,1936.2406933108693,0.9927505330490405,11.57337474822998,10.644522476196286,0.5640029311180115,4.6838172806928924e-07,0.03226071428571428,0,0
D1,17,1,400,0.8025,2,0.825,0.94,1.0,0.94,1.0,0.06,0.0,11.936273134313899,12.245436077565989,0.0,0.0,0.0,0.0,4.675369739532471,72.11752057127887,15.424987667069622,0.3565890537470046,0.004797642193641746,0.011819393001496795,0.02454332752153276,0.04976009204983711,0.004618772932706473,0.9842224520440637,1.0031650586090022,,,,0,0.0,351,1.9922746308147907,0,0.0,0.0,0,0,0.0,0.0,145,0,0.8005900094285607,0.012196045807968724,70089.60171322241,-2.8550840816491347,0.0004614140696915912,0.0018564706668257704,0.019984181970357895,-12.196049460348405,-3.441408157348633,-70.85648440331147,32.28044452021054,0.8285960505793417,940.7958427840362,0.9910336877161522,11.784401893615723,8.972224187850946,0.5817438960075378,8.169614034159167e-07,0.01635,0,0
D1,27,1,400,0.6525,1,0.7575000000000001,0.72,1.0,0.72,1.0,0.28,0.0,11.631353773394448,11.772655489958508,0.02,0.0,5.7142857142857145e-06,0.0,3.9818308353424072,70.55086096574814,17.71819644861465,0.2831261557117218,0.004498534647909418,0.011465789284557104,0.02509381342679262,0.04906698688864708,0.004271667532438129,0.9845070837166136,1.0112739482797561,,,,0,0.0,416,2.318766836076975,0,0.0,0.0,0,0,0.0,0.0,219,0,1.428170443046838,0.012163575708669435,65247.45318902811,-4.63495963111608,0.0006506685881386159,0.003771984949707985,0.019996698945760727,-12.1635757756597,-3.4258997440338135,-77.15022118064684,35.19987757010847,0.7556861361081035,1099.5685325576292,0.9934003390651489,6.959810733795166,5.005743598937988,0.8909245729446411,3.991397363733995e-07,0.014307142857142857,0,0
D2,7,1,400,0.72,2,0.6925,0.04,0.96,0.04,0.38,0.3,0.32,6.682487151737278,6.850205839093212,0.04,0.0,1.1428571428571429e-05,0.0,3.4396839141845703,70.03542548580299,20.36100619507242,0.32505174074136245,0.004767522934095483,0.012099586986005313,0.027112380079925075,0.053460441529750824,0.0043104028487077175,0.9728983261207209,1.042736592590876,,,,0,0.0,438,3.0179444029927254,0,0.0,0.0,0,0,0.0,0.0,642,0,4.409342744387686,0.012138747479005408,99998.35284323947,-4.4760113804451755,0.0011670187674176916,0.012916162982583024,0.019982926547527313,-12.138745252397012,-3.4103333950042725,-99.98084688655952,45.31930170246905,1.5131442317252803,1295.3738089717817,0.9933530280649926,13.401307106018066,8.046317768096918,0.6587416529655457,4.5596036102324433e-07,0.016802114614967823,0,0
D2,17,1,400,0.2725,206,0.21,0.0,0.12,0.0,1.0,0.12,0.0,14.265148037498289,37.20103661191445,0.98,0.88,0.15755234885288877,0.008476091823091857,4.094944477081299,48.135247759975755,11.754798637534764,1.610768384489557,0.00519848075818346,0.012558055669069295,0.02324496924877177,0.048094429075717926,0.004925329761585568,0.9741270963869619,1.0171095969527053,,,,0,0.0,173,1.00779627263546,0,0.0,0.0,0,0,0.0,0.0,294,0,1.661708417115733,0.012256795812806441,39730.564760567235,-1.4221920803039239,0.0012219462973356652,0.011120713502168651,0.01979062333703041,-12.256804313921188,-3.460712194442749,-46.649118846491916,21.242020172581466,1.9512792563280397,702.9023994071423,0.9877212728947099,110.61351013183594,87.61030883789063,0.27835264801979065,3.8895055354259966e-07,0.011325776553339334,0,0
D2,27,1,400,0.5225,13,0.45,0.0,1.0,0.0,0.84,0.84,0.1,9.989490839995891,9.989490839995891,0.0,0.0,0.0,0.0,5.77006196975708,72.47556348020953,12.560621334758517,7.275812834501502,0.004749357676298966,0.011659612134099006,0.026359551101923003,0.05962774530053139,0.004255008717208333,0.9707376352152498,1.073271481637211,,,,0,0.0,401,3.1025726217776537,0,0.0,0.0,0,0,0.0,0.0,787,0,5.317673198413104,0.012189538927740816,128689.86643704944,-4.4770929319417165,0.0015337489431296797,0.015163011103868482,0.019963953644037247,-12.189532268154414,-3.41426944732666,-132.61107039976878,60.3054578611819,2.680762211250754,1753.3368566433455,0.9945987201315094,465.30474853515625,313.12235412597647,0.03119465708732605,7.569041713395563e-07,0.06592060452989687,0,0
D3,7,1,400,0.6925,12,0.73,0.68,1.0,0.68,1.0,0.32,0.0,12.142111540042213,12.243777397540143,0.0,0.0,0.0,0.0,3.7141034603118896,69.78908759271872,18.790291745631183,0.5464137883837124,0.005014544804266622,0.012402824033051731,0.026340387724339918,0.06235573813319206,0.0044582271363688974,0.962014166953957,1.1126827475067702,,,,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,918,0,8.708596773270983,0.012112777598592035,96606.13673620856,-3.398093683633238,0.0014498182568916363,0.01579489931464194,0.019910361617803574,-12.112781676476038,-3.3984181880950928,-97.5644218341836,44.36161145329561,2.068535442971569,1347.4531519658626,0.99195093905711,50.065216064453125,29.244811248779296,0.3909699320793152,4.3793954773718724e-07,0.025045029988331375,0,0
