condition,training_seed,evaluation_mode,episode,success,impact_safe,stable_hold,first_contact_peak_force_n,force_exceeded_18n,force_exceeded_36n,emergency_failure,safety_violation,failure_category,failure_reason,hold_time_s,episode_return,final_phase,mass,friction,final_box_speed_mps,actor_residual_abs_mean,policy_command_delta,max_policy_command_delta
D0,7,learned,0,True,True,True,11.764518009161199,False,False,False,False,,,5.009999999999938,0.0,warmup,0.5128083197961336,1.1512648415214817,0.0205309893507609,0.017638211497970836,0.0014308857300356572,0.030857518315315247
D0,7,learned,1,True,True,True,10.840294758455768,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.5583821710176411,1.2738890168815886,0.0215197630547791,0.01742127336666651,0.0013525605782713187,0.033247411251068115
D0,7,learned,2,True,True,True,14.601481849765968,False,False,False,False,,,5.009999999999938,0.0,full,0.42594280942227786,0.9534267532589371,0.018927746819848518,0.017031254573972837,0.0011937255023311325,0.0357624851167202
D0,7,learned,3,True,True,True,11.58050867461877,False,False,False,False,,,5.009999999999938,0.0,warmup,0.509978780669319,1.1525834806578006,0.01975733143466068,0.017617866360748465,0.0014683245163676485,0.032116346061229706
D0,7,learned,4,True,True,True,12.381771541733642,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.5696580900535205,1.2016692008919285,0.022635052652771815,0.017609314591897202,0.001517168495861745,0.03121895156800747
D0,7,learned,5,True,True,True,13.21688198780223,False,False,False,False,,,5.009999999999938,0.0,full,0.4265115823194439,1.437154991672124,0.01959462492737821,0.0177292103872167,0.0011966664329208917,0.026510778814554214
D0,7,learned,6,True,True,True,12.477594230490144,False,False,False,False,,,5.009999999999938,0.0,warmup,0.5075895884587166,1.2407813524535225,0.02012687269391008,0.017652760533609403,0.001468257065748494,0.03128175437450409
D0,7,learned,7,True,True,True,12.30850403788233,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.48690102169905397,1.038737655570714,0.01866533165910469,0.017731859466516862,0.0015203983791857055,0.027488457038998604
D0,7,learned,8,True,True,True,14.250870430782507,False,False,False,False,,,5.009999999999938,0.0,full,0.505785052514625,1.5431761150884702,0.020939120735807983,0.017873664115091014,0.0013634016710867647,0.026917366310954094
D0,7,learned,9,True,True,True,12.796840543829598,False,False,False,False,,,5.009999999999938,0.0,warmup,0.49479990440431754,1.1688952171756082,0.019267619856366464,0.01769101050880469,0.0014523689996340946,0.030018499121069908
D0,7,learned,10,True,True,True,12.295768637181155,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.5579570453338745,1.2889912019305365,0.02132400161261903,0.017645536238455547,0.00137999872719575,0.030535170808434486
D0,7,learned,11,True,True,True,13.483812681920593,False,False,False,False,,,5.009999999999938,0.0,full,0.637714525300757,1.1834188609198721,0.021115625061211056,0.01776268341411656,0.0016505138102209977,0.026625975966453552
D0,7,learned,12,True,True,True,11.878234165588193,False,False,False,False,,,5.009999999999938,0.0,warmup,0.5009263118149376,1.2188247958799947,0.019225199871432893,0.017786741154416738,0.0015272387810940367,0.029660165309906006
D0,7,learned,13,True,True,True,11.137160198318261,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.5721493389616075,1.0132527290956106,0.020722484060694022,0.017390363368305423,0.0014496556302158311,0.03412376344203949
D0,7,learned,14,False,True,False,15.12325098514348,False,False,False,False,unstable box motion,timeout,0.09,0.0,full,0.47084174840317594,1.1668854451158555,0.02639784902144492,0.016993507039334874,0.0012433054695221862,0.03555364906787872
D0,7,learned,15,True,True,True,12.420553129023336,False,False,False,False,,,5.009999999999938,0.0,warmup,0.48738766261608873,1.2336237205624674,0.019556144806942316,0.01768619523824656,0.0014481887316391078,0.030682014301419258
D0,7,learned,16,True,True,True,10.567374794210195,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.44463355547976935,1.2760410585312312,0.020292150458613174,0.017494975309651977,0.0013799513086224506,0.03306819498538971
D0,7,learned,17,True,True,True,15.700370998243223,False,False,False,False,,,5.009999999999938,0.0,full,0.545833674323523,1.1579762526510662,0.017092316413127143,0.01763391721646588,0.001212251350708499,0.025074243545532227
D0,7,learned,18,True,True,True,11.545877133977044,False,False,False,False,,,5.009999999999938,0.0,warmup,0.49298274539423165,1.2346759141610777,0.01918607344801367,0.017779818949891914,0.0015449436534715963,0.029503507539629936
D0,7,learned,19,True,True,True,11.20499085369016,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.4838916734878356,1.3374730526845824,0.02486945321483812,0.017354782748620352,0.0013661546175020764,0.03386259451508522
D0,7,learned,20,True,True,True,13.051836674153943,False,False,False,False,,,5.009999999999938,0.0,full,0.5020057240424289,0.7954649007207342,0.017895005362391435,0.017272319356303776,0.0013083988258872797,0.030665604397654533
D0,7,learned,21,True,True,True,12.708773037008136,False,False,False,False,,,5.009999999999938,0.0,warmup,0.4904104543646842,1.1673474497063143,0.018653292652325917,0.017689596270056757,0.0014441387010702706,0.029997890815138817
D0,7,learned,22,True,True,True,10.702599037946197,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.4526350727341898,1.1252112590506311,0.0185679037727296,0.017698244306075837,0.001547468835861336,0.030690189450979233
D0,7,learned,23,True,True,True,16.508572089083913,False,False,False,False,,,5.009999999999938,0.0,full,0.4904961771661215,1.343875645190756,0.019801841524063682,0.017758091848667886,0.0012419507846286636,0.024869898334145546
D0,7,learned,24,True,True,True,11.448913292120665,False,False,False,False,,,5.009999999999938,0.0,warmup,0.5109693765412465,1.211283449106051,0.01997275161213235,0.017662530846309976,0.0014831127378650906,0.03122098557651043
D0,7,learned,25,True,True,True,11.578801531610816,False,False,False,False,,,5.009999999999938,0.0,intermediate,0.5317344461251952,1.0067531604749642,0.023539859540494215,0.017629222782521742,0.0016397616761351652,0.029703907668590546
D0,7,learned,26,True,True,True,13.78400512103564,False,False,False,False,,,5.009999999999938,0.0,full,0.5135364956319597,0.9791037239291087,0.019102623375208874,0.017320519079634156,0.0012657956139504498,0.027135340496897697
D0,7,learned,27,True,True,True,13.669519562489565,False,False,False,False,,,5.009999999999938,0.0,warmup,0.48896578770858773,1.2364416551319382,0.019641281904954917,0.017720822111862256,0.0014483362916152833,0.03011065162718296
D0,7,learned,28,False,True,False,12.754802580784629,False,False,False,False,unstable box motion,timeout,4.999999999999938,0.0,intermediate,0.46606083056516756,1.0333475627374389,0.018929525643680587,0.017474001413044653,0.0013516836440040996,0.030276235193014145
D0,7,learned,29,True,True,True,12.637007880686411,False,False,False,False,,,5.009999999999938,0.0,full,0.4781300590747878,1.1076903259488948,0.01791600011449228,0.017589264908675663,0.001347930609574685,0.030572861433029175
D0,7,learned,30,True,True,True,12.138512985111216,False,False,False,False,,,5.009999999999938,0.0,warmup,0.500472282046089,1.2042566690466316,0.021382313228644294,0.017742193756382887,0.0014772008645296511,0.029985109344124794
