condition,seed,episodes,learned_success,zero_success,delta_success,ci_low,ci_high,learned_impact_safe,zero_impact_safe,learned_stable_hold,zero_stable_hold,learned_peak_p95,zero_peak_p95,learned_over_18n,zero_over_18n,learned_over_36n,zero_over_36n,learned_emergency,zero_emergency,learned_return,zero_return,actor_residual_abs_mean,policy_command_delta
D0,7,100,0.91,0.92,-0.01,-0.03,0.0,1,1,0.91,0.92,15.497926501775249,15.521809671155717,0,0,0,0,0,0,0.0,0.0,0.017551896063144126,0.0014910244823258543
D0,17,100,0.91,0.92,-0.01,-0.03,0.0,1,1,0.91,0.92,15.596918453513197,15.521809671155717,0,0,0,0,0,0,0.0,0.0,0.027506256890575963,0.0032037932733225702
D0,27,100,0.92,0.92,0.0,0.0,0.0,1,1,0.92,0.92,15.518205575910471,15.521809671155717,0,0,0,0,0,0,0.0,0.0,0.014343193501562494,0.0014446220343529619
D1,7,100,0.51,0.92,-0.41,-0.51,-0.31,0.77,1,0.59,0.92,21.816036258933835,15.521809671155717,0.23,0,0,0,0,0,0.0,0.0,0.5752513319580141,0.05786686754711498
D1,17,100,0.87,0.92,-0.05,-0.11,0.01,1,1,0.87,0.92,13.797432206182494,15.521809671155717,0,0,0,0,0,0,0.0,0.0,0.513585849253255,0.08683188875919771
D1,27,100,0.76,0.92,-0.16,-0.24,-0.08,1,1,0.76,0.92,13.687724355039755,15.521809671155717,0.01,0,0,0,0,0,0.0,0.0,0.502769125145602,0.08479755031738993
D2,7,100,0.04,0.92,-0.88,-0.94,-0.81,0.96,1,0.04,0.92,17.870885395224462,15.521809671155717,0.04,0,0,0,0,0,0.0,0.0,1.1599224034160454,1.0711756993938775
D2,17,100,0,0.92,-0.92,-0.97,-0.86,1,1,0,0.92,16.596475027420748,15.521809671155717,0.98,0,0.9,0,0,0,0.0,0.0,2.7269760728309334,0.9694626560761203
D2,27,100,0,0.92,-0.92,-0.97,-0.86,1,1,0,0.92,12.519448017565244,15.521809671155717,0,0,0,0,0,0,0.0,0.0,48.59535523585044,1.9696640109852737
D3,7,100,0.73,0.92,-0.19,-0.27,-0.12,1,1,0.73,0.92,14.88792443471353,15.521809671155717,0,0,0,0,0,0,0.0,0.0,0.2749352285058287,0.09116302948688966
D3,17,100,0,0.92,-0.92,-0.97,-0.86,0.99,1,0,0.92,16.023508378827177,15.521809671155717,0.95,0,0.93,0,0,0,0.0,0.0,3.1662422935359014,1.212914818939964
D3,27,100,0.78,0.92,-0.14,-0.23,-0.05,1,1,0.78,0.92,12.421982715076876,15.521809671155717,0,0,0,0,0,0,0.0,0.0,0.5906119167006941,0.17858913124449477
M0,7,100,0.01,0.92,-0.91,-0.96,-0.85,0.16,1,0.01,0.92,39.57131198109534,15.521809671155717,0.87,0,0.26,0,0,0,0.0,0.0,12.272453582798681,1.2186031693196953
M0,17,100,0.1,0.92,-0.82,-0.89,-0.74,0.99,1,0.1,0.92,15.915787141530712,15.521809671155717,1,0,0.88,0,0,0,0.0,0.0,5.603400951999815,0.3821618144231167
M0,27,100,0.26,0.92,-0.66,-0.77,-0.55,1,1,0.26,0.92,12.453784450932089,15.521809671155717,0,0,0,0,0,0,0.0,0.0,1.311640741915117,0.6258605039179368
