wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/seohy/.netrc.
wandb: Currently logged in as: ohseohyun0531 (ohseohyun0531-kwangwoon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w7d5h0ij
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/seohy/colcon_ws/src/Adaptive_Cost_MPC/wandb/run-20260726_182331-w7d5h0ij
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run postfix-v1-residual-curriculum
wandb: ⭐️ View project at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: 🚀 View run at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/w7d5h0ij
episodes 0-19: success_rate=0.900 mean_reward=775.44 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 20-39: success_rate=0.900 mean_reward=744.69 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 40-59: success_rate=0.900 mean_reward=775.50 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 60-79: success_rate=0.800 mean_reward=715.53 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 80-99: success_rate=0.900 mean_reward=749.80 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 100-119: success_rate=0.950 mean_reward=770.03 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 120-139: success_rate=0.950 mean_reward=758.07 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 140-159: success_rate=0.950 mean_reward=801.23 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 160-179: success_rate=0.750 mean_reward=724.19 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 180-199: success_rate=0.900 mean_reward=785.05 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 200-219: success_rate=0.950 mean_reward=774.85 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 220-239: success_rate=0.700 mean_reward=768.46 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 240-259: success_rate=0.900 mean_reward=769.36 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 260-279: success_rate=0.900 mean_reward=754.78 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 280-299: success_rate=0.900 mean_reward=804.92 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 300-319: success_rate=0.900 mean_reward=791.67 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 320-339: success_rate=0.900 mean_reward=730.61 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 340-359: success_rate=0.900 mean_reward=736.39 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 360-379: success_rate=0.850 mean_reward=742.10 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 380-399: success_rate=1.000 mean_reward=825.44 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 400-419: success_rate=0.800 mean_reward=708.48 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 420-439: success_rate=0.850 mean_reward=733.13 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 440-459: success_rate=0.850 mean_reward=761.00 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 460-479: success_rate=1.000 mean_reward=821.10 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 480-499: success_rate=0.850 mean_reward=744.75 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 500-519: success_rate=0.900 mean_reward=781.85 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 520-539: success_rate=0.950 mean_reward=823.69 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 540-559: success_rate=0.850 mean_reward=816.98 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 560-579: success_rate=0.750 mean_reward=723.29 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 580-599: success_rate=0.900 mean_reward=760.73 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 600-619: success_rate=0.800 mean_reward=764.86 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 620-639: success_rate=0.850 mean_reward=735.75 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 640-659: success_rate=0.900 mean_reward=787.25 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
