wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/seohy/.netrc.
wandb: Currently logged in as: ohseohyun0531 (ohseohyun0531-kwangwoon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run wjyrzjoc
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/seohy/colcon_ws/src/Adaptive_Cost_MPC/wandb/run-20260726_232348-wjyrzjoc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run postfix-v3-hard-domain
wandb: ⭐️ View project at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: 🚀 View run at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/wjyrzjoc
episodes 0-19: success_rate=0.850 mean_reward=640.91 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 20-39: success_rate=0.800 mean_reward=762.03 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.500
episodes 40-59: success_rate=0.900 mean_reward=773.04 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 60-79: success_rate=0.800 mean_reward=696.16 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 80-99: success_rate=0.850 mean_reward=669.04 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 100-119: success_rate=0.900 mean_reward=755.55 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 120-139: success_rate=0.850 mean_reward=765.58 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 140-159: success_rate=0.800 mean_reward=787.48 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 160-179: success_rate=0.750 mean_reward=521.81 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 180-199: success_rate=0.900 mean_reward=785.21 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 200-219: success_rate=0.900 mean_reward=653.02 mean_actor_loss=0.0123 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 220-239: success_rate=0.750 mean_reward=764.31 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 240-259: success_rate=0.900 mean_reward=776.89 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 260-279: success_rate=0.900 mean_reward=751.25 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 280-299: success_rate=0.850 mean_reward=779.24 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 300-319: success_rate=0.800 mean_reward=693.32 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 320-339: success_rate=0.800 mean_reward=729.16 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 340-359: success_rate=0.900 mean_reward=738.89 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 360-379: success_rate=0.800 mean_reward=642.05 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 380-399: success_rate=0.900 mean_reward=704.97 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 400-419: success_rate=0.600 mean_reward=598.67 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 420-439: success_rate=0.900 mean_reward=743.84 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 440-459: success_rate=0.850 mean_reward=713.27 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 460-479: success_rate=0.850 mean_reward=823.27 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 480-499: success_rate=0.850 mean_reward=747.60 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 500-519: success_rate=0.750 mean_reward=655.03 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 520-539: success_rate=0.950 mean_reward=828.15 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 540-559: success_rate=0.850 mean_reward=716.43 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 560-579: success_rate=0.800 mean_reward=732.46 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 580-599: success_rate=0.800 mean_reward=731.99 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 600-619: success_rate=0.850 mean_reward=770.34 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 620-639: success_rate=0.800 mean_reward=696.07 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 640-659: success_rate=0.850 mean_reward=670.62 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
